Model,Accuracy,ROC_AUC,Class_0_Precision,Class_0_Recall,Class_0_F1,Class_1_Precision,Class_1_Recall,Class_1_F1
random_forest,0.711340206185567,0.7491386735572781,0.75,0.7222222222222222,0.7358490566037735,0.6666666666666666,0.6976744186046512,0.6818181818181818
neural_network,0.6391752577319587,0.6998277347114557,0.7317073170731707,0.5555555555555556,0.631578947368421,0.5714285714285714,0.7441860465116279,0.6464646464646465
